district,ward,village,latitude,langitude,year,hh_served,functional_stat,pump_type,outlet,soak_away_pit,protecte,date_of_last_visit,vpm_visits_yearly,bh_committe,seasonality,aquifer_yield,bh_depth,palatabilit,total_dissolved_solids
Nyanga,2,Taibo,-17.4403359,32.7795577,1990,25,Non-Functional,Elephant Pump,1,False,No,2023-01-25,3,Non-existent,Seasonal,0.565960725,31,False,748
Nyanga,2,Chibvembe,-17.37979,32.8191794,2016,42,Partially Functional,Bush Pump Type B,1,False,Yes,2022-07-28,2,Functional,Seasonal,0.858053861,45,True,388
Nyanga,2,Gohoto,-17.4764182,32.7703329,2005,20,Fully Functional,Bush Pump Type B,1,False,Yes,2023-04-13,5,Functional,Perennial,27.0,81,True,138
Mutasa,13,Banhu,-18.5118201,32.4827287,1982,14,Fully Functional,Bush Pump Type B,1,False,Yes,2023-02-06,6,Functional,Perennial,48.0,108,False,680
Mutasa,13,Mashingauta,-18.4442492,32.4599439,2005,29,Fully Functional,Bush Pump Type B,1,False,Yes,2023-01-31,6,Functional,Perennial,44.0,27,False,793
Mutasa,13,Gumi,-18.4932317,32.4952562,1982,18,Partially Functional,Bush Pump Type B,1,False,Yes,2023-02-12,6,Functional,Seasonal,0.927183305,63,True,494
Mutasa,13,Chitsanza,-18.4261939,32.4534173,2013,17,Fully Functional,Bush Pump Type B,1,False,Yes,2023-01-12,3,Functional,Perennial,33.0,102,False,885
Mutasa,13,Kanganya,-18.4809666,32.5098771,1993,16,Partially Functional,Bush Pump Type B,1,False,Yes,2023-01-11,4,Functional,Perennial,46.0,60,False,831
Mutasa,13,Kanganya,-18.4848402,32.5136033,1986,8,Fully Functional,Bush Pump Type B,1,True,Yes,2023-05-10,5,Functional,Perennial,44.0,70,False,718
Mutasa,13,Gwata,-18.4912424,32.4879114,1981,23,Fully Functional,Bush Pump Type B,1,False,Yes,2023-01-05,6,Functional,Perennial,30.0,95,True,200
Mutasa,13,Manjoro,-18.4178763,32.4698121,1987,12,Fully Functional,Bush Pump Type B,1,False,Yes,2022-12-31,1,Non-Functional,Perennial,6.0,106,False,953
Mutasa,13,Gwata,-18.4760939,32.4972554,1998,17,Fully Functional,Bush Pump Type B,1,False,Yes,2023-01-10,4,Functional,Perennial,12.0,37,True,538
Mutasa,13,Nyagwambo,-18.5191244,32.4709886,1998,14,Fully Functional,Bush Pump Type B,1,False,Yes,2023-05-24,6,Functional,Perennial,50.0,59,True,340
Mutasa,13,Mangere,-18.4777707,32.4396063,1986,32,Fully Functional,Bush Pump Type B,1,False,Yes,2023-01-06,6,Functional,Perennial,37.0,85,True,485
Mutasa,13,Mupatsi,-18.5402435,32.4980199,1988,31,Non-Functional,Bush Pump Type B,1,False,Yes,2022-05-10,2,Functional,Perennial,9.0,75,True,497
Mutasa,13,Medzani,-18.5043458,32.4485254,1986,15,Fully Functional,Bush Pump Type B,1,True,Yes,2023-01-02,6,Functional,Perennial,16.0,101,True,304
Mutasa,13,Dera,-18.4435464,32.485839,2013,26,Fully Functional,Bush Pump Type B,1,False,Yes,2023-01-10,4,Functional,Perennial,16.0,91,False,906
Mutasa,13,Dzvairo,-18.4444023,32.4442999,1997,40,Partially Functional,Bush Pump Type B,1,False,Yes,2023-03-30,6,Functional,Perennial,23.0,65,True,265
Mutasa,13,Dera,-18.4377163,32.4718441,1993,34,Fully Functional,Bush Pump Type B,1,False,Yes,2023-01-30,4,Functional,Perennial,0.802728148,105,True,581
Mutasa,13,Mashingauta,-18.4389256,32.4663056,1992,12,Fully Functional,Bush Pump Type B,1,False,Yes,2022-08-12,2,Functional,Perennial,26.0,58,False,640
Mutasa,13,Chitsanza,-18.3952779,32.4828186,1998,40,Fully Functional,Bush Pump Type B,1,False,Yes,2023-05-22,4,Functional,Perennial,45.0,36,True,186
Mutasa,13,Nyatsvimbo,-18.5306605,32.5002984,1993,11,Fully Functional,Bush Pump Type B,1,False,Yes,2022-10-20,2,Functional,Perennial,10.0,29,False,731
Mutasa,13,Makora,-18.4595906,32.4815904,1993,17,Fully Functional,Bush Pump Type B,1,False,Yes,2022-05-07,2,Functional,Perennial,16.0,31,True,234
Mutasa,13,Mangere,-18.4682199,32.4543562,1997,16,Fully Functional,Bush Pump Type B,1,False,Yes,2023-04-24,3,Functional,Seasonal,0.061455959,100,True,598
Mutasa,13,Dera,-18.443569,32.5009268,1993,27,Fully Functional,Bush Pump Type B,1,False,Yes,2022-08-24,2,Functional,Perennial,42.0,107,False,609
Mutasa,13,Mutetwa A,-18.4959955,32.4793229,1996,12,Fully Functional,Bush Pump Type B,1,False,Yes,2022-07-22,2,Functional,Perennial,20.0,89,False,634
Mutasa,13,Gumi,-18.5004636,32.5001305,1992,18,Fully Functional,Bush Pump Type B,1,False,Yes,2023-02-25,3,Non-Functional,Perennial,27.0,82,False,857
Mutasa,13,Nyamurundira,-18.5059307,32.5088666,1995,24,Partially Functional,Bush Pump Type B,1,False,Yes,2022-04-28,2,Functional,Perennial,30.0,42,False,836
Mutasa,13,Mutetwa A,-18.503482,32.4668718,1992,18,Fully Functional,Bush Pump Type B,1,True,Yes,2022-08-27,2,Functional,Perennial,6.0,105,True,519
Mutasa,13,Mutetwa B,-18.5026739,32.4725997,1999,26,Fully Functional,Bush Pump Type B,1,True,Yes,2023-02-14,4,Functional,Perennial,11.0,61,True,46
Mutasa,13,Kanganya,-18.4698787,32.5273863,1995,22,Fully Functional,Bush Pump Type B,1,False,Yes,2023-03-06,4,Functional,Perennial,47.0,65,True,84
Mutasa,13,Manjoro,-18.421605,32.4824468,1985,30,Fully Functional,Bush Pump Type B,1,False,Yes,2022-12-30,1,Non-Functional,Perennial,24.0,50,False,892
Mutasa,13,Changunda,-18.462526,32.4957386,1993,30,Fully Functional,Bush Pump Type B,1,False,Yes,2023-02-12,6,Functional,Perennial,23.0,31,True,294
Mutasa,13,Banhu,-18.5134669,32.4758202,1995,16,Fully Functional,Bush Pump Type B,1,False,Yes,2022-08-06,2,Non-Functional,Perennial,44.0,81,False,921
Mutare,22,Gwarada B Block,-19.3345825,32.5862033,1988,58,Fully Functional,Bush Pump Type B,1,False,Yes,2023-01-04,3,Non-existent,Perennial,18.0,107,True,73
Mutasa,13,Dirorimwe,-18.522904,32.4965996,1988,7,Fully Functional,Bush Pump Type B,1,False,Yes,2022-03-12,1,Non-Functional,Perennial,25.0,99,False,798
Mutasa,13,Changunda,-18.4550117,32.4672647,1988,35,Fully Functional,Bush Pump Type B,1,False,Yes,2023-02-18,3,Non-existent,Perennial,43.0,39,False,960
Mutare,22,Mambwere B4,-19.2683095,32.656909,1997,21,Fully Functional,Bush Pump Type B,1,True,Yes,2023-04-10,3,Functional,Perennial,5.0,112,True,434
Mutasa,13,Banhu,-18.5043121,32.4720633,1982,16,Partially Functional,Bush Pump Type B,1,False,Yes,2023-02-11,3,Functional,Perennial,17.0,99,True,213
Mutare,22,Gwizo 14A,-19.4822045,32.5203508,1983,32,Fully Functional,Bush Pump Type A,1,False,Yes,2023-05-02,3,Functional,Perennial,37.0,61,False,606
Mutare,22,Padzura 2 B,-19.2965731,32.6937544,2001,13,Fully Functional,Bush Pump Type B,1,False,Yes,2023-04-07,3,Non-existent,Perennial,5.0,63,False,660
Nyanga,11,Mutukumira,-17.7765418,33.0034606,1990,25,Non-Functional,Bush Pump Type B,1,False,Yes,2022-06-11,1,Functional,Perennial,35.0,98,True,134
Chimanimani,8,Makotamo,-19.7838327,32.425779,2014,30,Partially Functional,Bush Pump Type B,1,False,No,2022-06-10,1,Functional,Perennial,0.846885176,48,True,468
Nyanga,9,Munembe,-17.7474746,32.8100138,1992,63,Fully Functional,Bush Pump Type B,1,False,Yes,2023-02-21,4,Functional,Perennial,24.0,81,True,161
Chipinge,17,Nyaututu C 1,-20.380178,32.585254,1992,20,Fully Functional,Bush Pump Type B,1,False,Yes,2022-11-27,2,Functional,Seasonal,30.0,88,True,235
Chipinge,13,Muqabaniso,-20.3113376,32.7234435,1986,45,Fully Functional,Bush Pump Type B,1,False,Yes,2023-05-30,5,Functional,Seasonal,30.0,56,True,68
Chipinge,23,Nyadzonya,-20.7359228,32.4256938,1986,35,Non-Functional,Bush Pump Type B,1,False,No,2022-08-09,2,Functional,Perennial,0.184550094,28,False,807
Chipinge,23,Mhlanga,-20.6572523,32.4204643,1990,10,Fully Functional,Bush Pump Type B,1,False,Yes,2023-03-29,3,Functional,Perennial,33.0,94,True,528
Chipinge,23,Chitokonye,-20.5686727,32.452179,2001,52,Partially Functional,Bush Pump Type B,1,False,Yes,2023-03-04,4,Functional,Perennial,38.0,83,True,422
Chipinge,23,Kungai,-20.6650272,32.4124091,2013,55,Fully Functional,Bush Pump Type B,1,False,Yes,2022-06-23,2,Functional,Perennial,34.0,81,True,368
Chipinge,23,Magamba,-20.6408066,32.314,1972,15,Fully Functional,Bush Pump Type B,1,True,Yes,2023-01-23,5,Functional,Perennial,49.0,49,False,877
Nyanga,23,9A,-18.2309042,32.6405315,1992,50,Fully Functional,Bush Pump Type A,1,False,Yes,2022-06-30,1,Non-Functional,Perennial,36.0,99,True,266
Chipinge,22,Chisurudza,-20.6861672,32.35181,2015,25,Fully Functional,Submersible Pump,8,False,Yes,2023-06-01,4,Functional,Perennial,32.0,55,True,37
Chimanimani,8,Ngaazwane,-19.7852409,32.4158251,1953,11,Partially Functional,Bush Pump Type B,1,True,Yes,2022-02-19,2,Functional,Perennial,42.0,100,True,508
Buhera,10,Maupa,-19.0833495,31.8098614,2020,22,Fully Functional,Bush Pump Type B,1,False,Yes,2023-03-13,3,Functional,Perennial,50.0,61,True,323
Buhera,10,Maupa,-19.0860077,31.8125266,1970,12,Non-Functional,Bush Pump Type B,1,False,Yes,2022-01-10,1,Functional,Perennial,33.0,57,True,131
Nyanga,23,6,-18.2083494,32.680269,1990,60,Fully Functional,Bush Pump Type A,1,False,Yes,2023-03-25,5,Functional,Perennial,15.0,63,True,116
Nyanga,23,23,-18.3073474,32.4487879,2015,13,Partially Functional,Bush Pump Type B,1,False,Yes,2022-04-01,1,Non-existent,Seasonal,0.550862899,34,True,69
Nyanga,23,3,-18.138,32.708143,2005,30,Fully Functional,Bush Pump Type B,1,False,Yes,2023-02-08,4,Functional,Perennial,0.269875283,47,True,277
Nyanga,23,15A,-18.2733383,32.5165975,1990,0,Non-Functional,National Pump,1,False,No,2023-01-21,3,Non-functional,Seasonal,0.668290154,70,False,841
Nyanga,23,10A,-18.2445501,32.6323226,2016,30,Fully Functional,Bush Pump Type B,1,False,Yes,2022-03-11,1,Non-Functional,Perennial,44.0,66,True,134
Nyanga,23,21,-18.3363355,32.4417394,2005,14,Fully Functional,Bush Pump Type A,1,False,Yes,2022-06-12,1,Non-Functional,Perennial,21.0,87,True,161
Nyanga,23,24,-18.294699,32.4397676,1982,19,Partially Functional,Bush Pump Type A,1,False,Yes,2022-01-13,1,Non-existent,Seasonal,0.667980393,27,True,32
Nyanga,23,2,-18.1068963,32.7049216,2016,63,Fully Functional,Bush Pump Type B,1,False,Yes,2022-12-07,2,Non-Functional,Perennial,22.0,98,True,400
Nyanga,23,19/20,-18.37041,32.4273764,2005,23,Fully Functional,Bush Pump Type B,1,False,Yes,2023-01-01,3,Functional,Perennial,31.0,30,True,535
Nyanga,23,16,-18.3449078,32.5200364,1982,23,Fully Functional,Bush Pump Type A,1,False,Yes,2023-05-01,3,Non-Functional,Perennial,8.0,69,True,538
Nyanga,23,7A,-18.2094762,32.6661748,2013,21,Fully Functional,Bush Pump Type A,1,False,Yes,2022-05-16,1,Non-Functional,Perennial,6.0,28,True,70
Nyanga,23,15A,-18.2927887,32.5398842,1993,13,Fully Functional,Bush Pump Type A,1,False,Yes,2023-03-17,6,Functional,Perennial,9.0,40,True,71
Nyanga,23,5,-18.161803,32.6618665,1986,36,Fully Functional,Bush Pump Type B,1,False,Yes,2023-01-11,4,Functional,Perennial,9.0,34,True,508
Nyanga,23,8,-18.220449,32.6410478,1981,30,Fully Functional,Bush Pump Type B,1,False,Yes,2023-02-16,5,Functional,Perennial,5.0,65,False,949
Nyanga,23,15A,-18.2903557,32.5327592,1987,13,Partially Functional,Bush Pump Type B,1,False,Yes,2022-01-24,1,Non-Functional,Seasonal,27.0,84,True,156
Nyanga,23,14F,-18.2704096,32.5235809,1998,30,Partially Functional,Bush Pump Type A,1,False,Yes,2023-03-18,3,Non-existent,Seasonal,0.260015036,65,True,291
Nyanga,23,Tayisekwa Village 1,-18.078171,32.6775717,1918,12,Fully Functional,Bush Pump Type B,1,False,Yes,2023-05-20,3,Functional,Perennial,25.0,102,True,340
Nyanga,23,14B,-18.2688737,32.5718122,1986,57,Fully Functional,Bush Pump Type A,1,False,Yes,2023-03-31,5,Functional,Perennial,25.0,104,True,539
Nyanga,23,4,-18.1508703,32.6796226,1988,52,Fully Functional,Bush Pump Type A,1,False,Yes,2022-03-12,2,Functional,Perennial,18.0,85,True,187
Nyanga,23,14A,-18.2601348,32.5887069,1986,34,Fully Functional,Bush Pump Type B,1,False,Yes,2023-04-29,4,Functional,Seasonal,0.415684289,100,True,599
Nyanga,23,14E,-18.2749204,32.5495078,2013,21,Fully Functional,Bush Pump Type B,1,False,Yes,2023-05-14,4,Functional,Perennial,34.0,94,True,319
Nyanga,23,12A,-18.309747,32.5405929,1988,21,Fully Functional,Bush Pump Type A,1,False,Yes,2022-07-11,1,Non-Functional,Perennial,45.0,108,True,136
Nyanga,23,14D,-18.2826973,32.5545196,1988,34,Fully Functional,Bush Pump Type B,1,True,Yes,2023-02-14,6,Functional,Perennial,0.388483031,55,True,557
Buhera,3,Togara,-19.1991932,31.4157512,1988,18,Fully Functional,Bush Pump Type B,1,True,Yes,2023-01-01,3,Functional,Perennial,31.0,115,False,951
Buhera,3,Murata,-19.2535725,31.3691372,1997,36,Fully Functional,Bush Pump Type B,1,False,Yes,2023-05-13,3,Functional,Perennial,35.0,62,True,48
Buhera,3,Ngundu,-19.2412195,31.431531,1982,8,Fully Functional,Bush Pump Type B,1,True,Yes,2022-11-06,1,Non-existent,Perennial,32.0,70,True,567
Nyanga,1,Chimusasa,-17.4033786,32.9921747,1983,50,Partially Functional,Bush Pump Type B,1,False,Yes,2023-01-19,3,Non-Functional,Perennial,0.312496679,26,True,261
Nyanga,23,11,-18.3077651,32.513722,2001,33,Fully Functional,Bush Pump Type B,1,False,Yes,2023-03-13,3,Non-existent,Seasonal,0.220167058,53,True,254
Nyanga,11,Dandadzi,-17.8456564,32.9618091,1990,10,Fully Functional,Bush Pump Type B,1,False,No,2023-01-22,5,Functional,Perennial,41.0,73,True,54
Nyanga,11,Mutandakamwe,-17.8212935,32.9589052,2014,40,Fully Functional,Bush Pump Type B,1,False,Yes,2023-02-23,4,Functional,Perennial,0.031130356,84,True,221
Nyanga,23,14C,-18.2673206,32.5588026,1992,35,Fully Functional,Bush Pump Type A,1,False,Yes,2023-03-19,6,Functional,Seasonal,0.397411288,39,True,568
Mutare,22,Muranda VILLAGE O,-19.4340508,32.6233707,1992,61,Fully Functional,Bush Pump Type A,1,False,Yes,2023-02-03,6,Functional,Perennial,31.0,36,False,853
Chipinge,26,Munepasi,-20.817781,32.274137,1988,12,Fully Functional,Submersible Pump,6,False,Yes,2023-02-20,4,Functional,Perennial,12.0,104,True,145
Nyanga,2,Taibo,-17.433215,32.789944,1988,16,Non-Functional,Bush Pump Type B,1,False,Yes,2022-11-07,1,Non-functional,Seasonal,0.309120526,24,False,923
Makoni,3,Murindashaka,-17.8338763,32.5032208,1988,44,Partially Functional,Bush Pump Type A,1,False,Yes,2022-05-09,2,Functional,Perennial,18.0,64,True,547
Makoni,3,Vherende,-17.8618317,32.4768662,1997,18,Non-Functional,National Pump,1,False,No,2022-08-02,2,Non-functional,Seasonal,0.439612907,93,True,403
Makoni,3,Kunyai,-17.9912075,32.3521894,1982,12,Partially Functional,Bush Pump Type A,1,True,Yes,2022-08-11,2,Functional,Perennial,0.513087049,82,True,591
Makoni,3,Nyakadzumbu,-17.8334202,32.4635289,1983,16,Partially Functional,Bush Pump Type A,1,False,Yes,2023-02-06,4,Functional,Perennial,13.0,63,True,141
Makoni,3,Chapepa,-17.9503127,32.3966173,2001,20,Non-Functional,Bush Pump Type A,1,False,No,2023-02-11,3,Non-existent,Perennial,0.811684291,56,False,700
Makoni,3,Tapfumaneyi,-17.8364015,32.4190376,1990,25,Partially Functional,Bush Pump Type A,1,False,Yes,2022-03-19,2,Functional,Perennial,14.0,73,True,360
Makoni,3,Mugoti,-17.9107284,32.45035,2014,20,Non-Functional,Bush Pump Type A,1,False,Yes,2023-03-05,3,Non-existent,Perennial,10.0,57,True,205
Makoni,3,Tsikada,-17.9778585,32.5001334,1992,10,Non-Functional,National Pump,1,False,No,2022-02-27,1,Non-existent,Seasonal,0.126871399,107,True,556
Makoni,3,Mbariro,-18.0000064,32.4736082,1992,20,Fully Functional,Bush Pump Type A,1,False,Yes,2022-06-04,2,Functional,Perennial,0.505621279,32,True,474
Makoni,3,Ngurunda,-17.9269513,32.405935,1986,10,Non-Functional,Bush Pump Type A,1,False,No,2023-03-18,3,Non-existent,Perennial,0.677289425,25,False,779
Makoni,3,Chabarwa,-17.8315807,32.4542763,1986,20,Partially Functional,Bush Pump Type A,1,True,Yes,2023-01-16,5,Functional,Perennial,47.0,23,True,581
Makoni,3,Mugoti,-17.9181558,32.4525243,1990,25,Fully Functional,Bush Pump Type A,1,True,Yes,2023-02-18,6,Functional,Perennial,38.0,49,True,331
Makoni,3,Vherende,-17.8617347,32.478225,2001,12,Partially Functional,Bush Pump Type A,1,False,Yes,2023-01-30,4,Functional,Perennial,27.0,55,True,168
Makoni,3,Chabarwa,-17.8375979,32.4520514,2013,28,Partially Functional,Bush Pump Type A,1,True,Yes,2022-08-10,2,Functional,Perennial,33.0,115,True,419
Makoni,3,Mugoti,-17.9163272,32.4480821,1972,22,Non-Functional,Bush Pump Type A,1,True,Yes,2022-12-22,2,Non-functional,Perennial,31.0,96,True,534
Makoni,3,Mbariro,-17.9891532,32.4684939,1992,30,Partially Functional,Bush Pump Type A,1,False,Yes,2023-02-28,5,Functional,Perennial,8.0,105,True,486
Makoni,3,Tsikada Village,-17.9675671,32.4970604,2015,11,Partially Functional,Bush Pump Type A,1,True,No,2023-03-17,4,Functional,Perennial,0.258463417,45,True,93
Makoni,3,Ngurunda,-17.9316581,32.4092602,1953,12,Non-Functional,Bush Pump Type B,1,False,Yes,2022-03-28,1,Non-functional,Seasonal,0.190338071,105,False,838
Makoni,3,Mukuta,-17.888965,32.4085024,2020,30,Fully Functional,Bush Pump Type B,1,False,Yes,2023-02-14,5,Functional,Perennial,37.0,48,True,319
Makoni,3,Mbariro,-17.9981005,32.4600636,1970,9,Non-Functional,Bush Pump Type A,1,False,Yes,2022-10-15,1,Functional,Perennial,9.0,29,True,54
Makoni,3,Mukuta,-17.8886266,32.4297127,1990,15,Fully Functional,Bush Pump Type A,1,True,Yes,2023-02-19,6,Functional,Seasonal,0.101188981,20,True,106
Makoni,3,Maruma,-17.9941832,32.4172645,2015,42,Partially Functional,Bush Pump Type A,1,False,Yes,2023-03-11,3,Functional,Perennial,18.0,106,True,203
Makoni,3,Muvirimi,-17.866163,32.4458399,2005,20,Fully Functional,Bush Pump Type A,1,False,Yes,2023-05-21,3,Non-existent,Seasonal,0.940231224,45,True,531
Makoni,3,Chirovamhangu,-17.8624425,32.4073003,1990,23,Fully Functional,Bush Pump Type A,1,True,Yes,2023-05-27,3,Non-Functional,Perennial,0.076077461,95,True,548
Makoni,3,Huta 1,-17.9332971,32.4596748,2016,15,Fully Functional,Bush Pump Type A,1,False,Yes,2023-04-12,5,Functional,Perennial,35.0,24,True,59
Makoni,3,Ngurunda,-17.9311731,32.4209923,2005,12,Non-Functional,Bush Pump Type A,1,False,Yes,2022-09-19,1,Non-functional,Perennial,21.0,75,True,437
Makoni,3,Taimu,-17.9080069,32.3964973,1982,30,Non-Functional,Bush Pump Type A,1,False,Yes,2022-04-01,2,Non-existent,Perennial,0.876582364,34,True,415
Makoni,3,Mukuta,-17.8801328,32.4107986,1980,11,Partially Functional,Bush Pump Type A,1,False,No,2023-04-02,6,Functional,Perennial,37.0,81,True,217
Makoni,3,Vherende,-17.8620386,32.4586743,1986,16,Fully Functional,Bush Pump Type A,1,False,Yes,2023-05-29,6,Functional,Perennial,40.0,41,True,94
Makoni,3,Ngurunda,-17.924355,32.4165223,1986,15,Fully Functional,Bush Pump Type B,1,False,Yes,2023-02-01,3,Functional,Perennial,32.0,108,False,732
Makoni,3,Mukuta,-17.8684762,32.4164914,1980,42,Fully Functional,Bush Pump Type A,1,False,Yes,2023-01-17,4,Functional,Perennial,17.0,99,True,392
Makoni,3,Vherende,-17.8648153,32.4890302,1986,23,Partially Functional,Bush Pump Type A,1,False,Yes,2023-05-25,4,Functional,Perennial,41.0,76,True,457
Makoni,3,Mupfunde,-17.9044293,32.4527874,1987,15,Partially Functional,Bush Pump Type B,1,False,Yes,2023-01-25,4,Functional,Perennial,15.0,103,True,347
Makoni,3,Pitori,-17.8714182,32.3843362,1989,40,Fully Functional,Bush Pump Type A,1,True,Yes,2023-02-26,3,Non-Functional,Perennial,26.0,104,True,388
Makoni,3,Huta,-17.9407816,32.4662581,1987,10,Fully Functional,Bush Pump Type A,1,False,Yes,2023-04-07,6,Functional,Perennial,0.011019736,40,True,68
Makoni,3,Mupfunde,-17.8978506,32.4563408,1987,20,Non-Functional,Bush Pump Type A,1,False,No,2022-10-22,1,Non-functional,Perennial,0.808591119,65,True,255
Makoni,3,Ngurunda,-17.9267328,32.3989606,1986,23,Non-Functional,Bush Pump Type A,1,False,Yes,2022-09-02,1,Non-existent,Perennial,10.0,79,True,479
